date,exAAARF,exBAARF,Y
2/1/56,0.000633333,0.00105,0.039497
3/1/56,0.000708333,0.001125,0.068828
4/1/56,0.000533333,0.0009,-0.002537
5/1/56,0.000558333,0.000933333,-0.060714
6/1/56,0.000641667,0.001058333,0.03691
7/1/56,0.000808333,0.001241667,0.049227
8/1/56,0.000691667,0.001108333,-0.034488
9/1/56,0.0006,0.001025,-0.045822
10/1/56,0.000575,0.001058333,0.004119
11/1/56,0.000583333,0.001041667,-0.003921
12/1/56,0.00045,0.000966667,0.033884
1/1/57,0.00055,0.00115,-0.042938
2/1/57,0.000475,0.001141667,-0.027319
3/1/57,0.000483333,0.001125,0.021527
4/1/57,0.0005,0.001141667,0.044038
5/1/57,0.000566667,0.001216667,0.036134
6/1/57,0.000516667,0.001116667,-0.003105
7/1/57,0.000691667,0.001308333,0.006747
8/1/57,0.000608333,0.001208333,-0.051498
9/1/57,0.000491667,0.001166667,-0.060479
10/1/57,0.000433333,0.001175,-0.041734
11/1/57,0.000641667,0.001483333,0.020903
12/1/57,0.000641667,0.001658333,-0.039822
1/1/58,0.000966667,0.001991667,0.042718
2/1/58,0.001716667,0.002608333,-0.015309
3/1/58,0.001941667,0.002816667,0.032152
4/1/58,0.002058333,0.00295,0.032711
5/1/58,0.002216667,0.003091667,0.020213
6/1/58,0.002283333,0.0031,0.027698
7/1/58,0.0023,0.003016667,0.04326
8/1/58,0.0018,0.002483333,0.017599
9/1/58,0.001375,0.002025,0.048937
10/1/58,0.001233333,0.001908333,0.02557
11/1/58,0.001183333,0.001833333,0.027517
12/1/58,0.001091667,0.001733333,0.051912
1/1/59,0.001083333,0.001708333,0.004231
2/1/59,0.0012,0.001825,0.004811
3/1/59,0.001108333,0.001708333,0.001152
4/1/59,0.001066667,0.001591667,0.038054
5/1/59,0.001275,0.001766667,0.021431
6/1/59,0.001041667,0.001525,-0.003225
7/1/59,0.001058333,0.001566667,0.032004
8/1/59,0.000875,0.001425,-0.012976
9/1/59,0.0004,0.00095,-0.046282
10/1/59,0.000433333,0.001025,0.009574
11/1/59,0.000341667,0.000925,0.015886
12/1/59,7.50E-05,0.000658333,0.026227
1/1/60,0.000216667,0.000825,-0.073233
2/1/60,0.0005,0.00115,0.011022
3/1/60,0.000983333,0.001616667,-0.016066
4/1/60,0.001016667,0.001641667,-0.018013
5/1/60,0.000975,0.001658333,0.030813
6/1/60,0.001658333,0.002333333,0.019402
7/1/60,0.001758333,0.002433333,-0.024248
8/1/60,0.00165,0.002316667,0.029767
9/1/60,0.001475,0.002108333,-0.060313
10/1/60,0.001666667,0.002341667,-0.003279
11/1/60,0.001616667,0.002258333,0.044781
12/1/60,0.00175,0.002375,0.047239
1/1/61,0.001733333,0.002383333,0.06242
2/1/61,0.001541667,0.002208333,0.031438
3/1/61,0.001525,0.002191667,0.027345
4/1/61,0.001633333,0.002266667,0.002837
5/1/61,0.00165,0.002266667,0.021753
6/1/61,0.001666667,0.00225,-0.028673
7/1/61,0.001808333,0.002375,0.031995
8/1/61,0.001716667,0.002266667,0.02333
9/1/61,0.001808333,0.002366667,-0.020374
10/1/61,0.001766667,0.002358333,0.026275
11/1/61,0.001591667,0.002191667,0.043726
12/1/61,0.001516667,0.002083333,0.002796
1/1/62,0.001416667,0.001966667,-0.039756
2/1/62,0.001408333,0.00195,0.018592
3/1/62,0.001391667,0.001933333,-0.005842
4/1/62,0.001333333,0.001908333,-0.063943
5/1/62,0.001325,0.001925,-0.082247
6/1/62,0.001291667,0.001908333,-0.082669
7/1/62,0.001183333,0.001775,0.062503
8/1/62,0.001275,0.001866667,0.019369
9/1/62,0.001283333,0.001875,-0.050916
10/1/62,0.001283333,0.001875,0.005813
11/1/62,0.001183333,0.001775,0.106268
12/1/62,0.001141667,0.001708333,0.013234
1/1/63,0.001083333,0.001666667,0.047867
2/1/63,0.001058333,0.001641667,-0.026489
3/1/63,0.001083333,0.001658333,0.034281
4/1/63,0.001091667,0.001641667,0.04657
5/1/63,0.001075,0.0016,0.017274
6/1/63,0.001033333,0.001541667,-0.020905
7/1/63,0.0009,0.001383333,-0.004521
8/1/63,0.000808333,0.001258333,0.050966
9/1/63,0.000775,0.001216667,-0.013102
10/1/63,0.000725,0.00115,0.031925
11/1/63,0.000675,0.0011,-0.007187
12/1/63,0.000691667,0.001108333,0.023165
1/1/64,0.000725,0.001091667,0.024391
2/1/64,0.000691667,0.001083333,0.014415
3/1/64,0.0007,0.001075,0.014132
4/1/64,0.000775,0.00115,0.003292
5/1/64,0.000775,0.001141667,0.014215
6/1/64,0.000775,0.001141667,0.015084
7/1/64,0.000783333,0.001141667,0.01591
8/1/64,0.000758333,0.0011,-0.014421
9/1/64,0.000741667,0.001075,0.027599
10/1/64,0.000708333,0.001033333,0.005845
11/1/64,0.000658333,0.000975,-0.001302
12/1/64,0.0005,0.000808333,0.002128
1/1/65,0.000516667,0.000825,0.031991
2/1/65,0.0004,0.000708333,0.000746
3/1/65,0.000408333,0.000708333,-0.015813
4/1/65,0.000416667,0.000725,0.032512
5/1/65,0.000458333,0.000766667,-0.006222
6/1/65,0.00055,0.000875,-0.05038
7/1/65,0.000533333,0.000866667,0.011386
8/1/65,0.000541667,0.000866667,0.02426
9/1/65,0.0005,0.000825,0.030266
10/1/65,0.000441667,0.00075,0.025712
11/1/65,0.000425,0.000716667,-0.007321
12/1/65,0.00025,0.000533333,0.007049
1/1/66,0.000125,0.000391667,0.001905
2/1/66,0.000108333,0.000391667,-0.01625
3/1/66,0.000275,0.000608333,-0.026841
4/1/66,0.000283333,0.000658333,0.018758
5/1/66,0.000283333,0.0007,-0.05324
6/1/66,0.000475,0.0009,-0.01818
7/1/66,0.0003,0.000733333,-0.015629
8/1/66,0.000291667,0.000725,-0.07575
9/1/66,0.0001,0.0006,-0.010244
10/1/66,5.00E-05,0.000625,0.043833
11/1/66,2.50E-05,0.000675,0.007223
12/1/66,0.000358333,0.001016667,-0.003674
1/1/67,0.0004,0.001041667,0.074915
2/1/67,0.000391667,0.00105,0.003914
3/1/67,0.000725,0.001325,0.037237
4/1/67,0.001058333,0.001658333,0.040171
5/1/67,0.001366667,0.001966667,-0.05011
6/1/67,0.001583333,0.002175,0.016619
7/1/67,0.001141667,0.001708333,0.043354
8/1/67,0.001125,0.001716667,-0.009924
9/1/67,0.001025,0.00165,0.030615
10/1/67,0.00105,0.001633333,-0.031348
11/1/67,0.001116667,0.001658333,0.002835
12/1/67,0.001016667,0.001633333,0.023779
1/1/68,0.000975,0.001533333,-0.045875
2/1/68,0.000933333,0.001516667,-0.0308
