"","date","z_minus_3","z_minus_2","z_minus_1","z_0","z_1","z_2","z_3","Y"
"368",1960-08-01,-0.00660238220311374,-0.00660238155982209,-0.00660237512603548,-0.0066023108120317,-0.00660167008915005,-0.00659551858759657,-0.00655612799091485,0.029767
"369",1960-09-01,-0.00208794739830182,-0.0020879549366428,-0.00208803029300852,-0.00208878311104476,-0.00209623766097007,-0.00216408892400333,-0.00250735952734463,-0.060313
"370",1960-10-01,-0.00369175774379938,-0.0036917615081178,-0.00369179914418977,-0.00369217512172841,-0.00369589700133982,-0.0037296794315303,-0.00389794462056273,-0.003279
"371",1960-11-01,-0.00516367641967613,-0.00516367644590789,-0.00516367741139036,-0.00516368712247788,-0.00516378285204053,-0.00516461767480074,-0.00516784702962409,0.044781
"372",1960-12-01,-0.0014384332472379,-0.00143844513961063,-0.00143856403915417,-0.00143975185790153,-0.00145151366403816,-0.00155855110568131,-0.00209937225536992,0.047239
"373",1961-01-01,-0.000106320679926299,-0.000106329053543756,-0.000106412778806164,-0.000107249179419683,-0.00011552887470612,-0.000190680319955543,-0.000564928239222546,0.06242
"374",1961-02-01,-0.0018272177681906,-0.0018271085879011,-0.00182601706616211,-0.00181511267568213,-0.00170713902120205,-0.000724690545348199,0.00423438660627063,0.031438
"375",1961-03-01,0.00800296187822871,0.00800299870393225,0.00800336682680269,0.0080070443296477,0.00804345147939391,0.00837412947250567,0.0100254597753983,0.027345
"376",1961-04-01,0.0196543529195231,0.0196543182902044,0.0196539720656049,0.0196505131071456,0.0196162487772989,0.0193032680373272,0.0176867263973103,0.002837
"377",1961-05-01,0.0176730598171925,0.0176730589759412,0.0176730505574786,0.0176729662487617,0.0176721111313048,0.0176626403086777,0.0175688181292792,0.021753
"378",1961-06-01,0.00734355206072143,0.00734364883721716,0.00734461633095381,0.00735428022454008,0.00744982887858033,0.0083074957447274,0.0123286074629079,-0.028673
"379",1961-07-01,0.0117511593987446,0.0117511579841812,0.011751143663401,0.0117510014828433,0.011749682253575,0.0117450196429796,0.0119188771521948,0.031995
"380",1961-08-01,0.0194036546370271,0.019403637202137,0.0194034628882306,0.0194017213524512,0.0193844646307601,0.0192263904493316,0.0183945410172484,0.02333
"381",1961-09-01,0.00740631902793935,0.00740638179454423,0.00740700935263885,0.00741328045025583,0.0074755467705793,0.00805660568278737,0.0114265074317399,-0.020374
"382",1961-10-01,0.0247742843981828,0.0247742656469086,0.0247740781558004,0.0247722028770358,0.0247534162067557,0.0245646647526552,0.023134216957593,0.026275
"383",1961-11-01,0.0180833914336439,0.0180834300795243,0.0180838164662293,0.0180876768979538,0.0181259406456107,0.0184769973937173,0.0202963719516079,0.043726
"384",1961-12-01,-0.00159295918830991,-0.00159284912348577,-0.00159174946268664,-0.00158075225216741,-0.00147072709297044,-0.000378527573702312,0.00739123583442829,0.002796
"385",1962-01-01,0.00814523296296307,0.00814537430465435,0.00814678744427764,0.00816089783055409,0.00829993355691507,0.00951117082509863,0.0144772501523744,-0.039756
"386",1962-02-01,0.0113333881364634,0.0113333935286181,0.0113334474340981,0.0113339849615,0.0113392100205092,0.0113786071346783,0.0113237950399411,0.018592
"387",1962-03-01,0.017774505948425,0.0177744674399206,0.017774082252193,0.0177702316309371,0.0177318528280686,0.0173612497030674,0.0147950559839487,-0.005842
"388",1962-04-01,0.0100691625216399,0.0100691544060302,0.0100690732601928,0.0100682608480297,0.0100600436410886,0.00997068571690067,0.0090681235016454,-0.063943
"389",1962-05-01,0.00285436369755322,0.00285435298924476,0.00285424598351962,0.00285317644993953,0.00284253264347449,0.00274111901783204,0.0020854387123151,-0.082247
"390",1962-06-01,-0.0129739766045076,-0.0129739362994842,-0.0129735340718241,-0.0129695154355896,-0.012929681984837,-0.0125636604604287,-0.0105999698517977,-0.082669
"391",1962-07-01,-0.0217426803352128,-0.0217426091630735,-0.0217418976112103,-0.021734788145248,-0.0216642923860669,-0.0210143892339615,-0.0174672172607349,0.062503
"392",1962-08-01,-0.0148848198295191,-0.0148847820386231,-0.0148844046482928,-0.0148806339108432,-0.0148432356475987,-0.0144977625778574,-0.0125940141040229,0.019369
"393",1962-09-01,-0.0142180568681663,-0.0142180256758951,-0.0142177137943744,-0.0142145976642785,-0.0141837023530931,-0.0138991707441655,-0.0123539178481094,-0.050916
"394",1962-10-01,-0.019847415658977,-0.019847356247796,-0.0198467622248541,-0.0198408275004561,-0.0197820252332695,-0.0192437704621003,-0.0164246748660241,0.005813
"395",1962-11-01,-0.0173168460806772,-0.01731682872311,-0.0173166551566942,-0.0173149204085107,-0.0172976643324219,-0.0171340149909096,-0.0161158836095864,0.106268
"396",1962-12-01,-0.00916907448837001,-0.00916907470827713,-0.00916907688875133,-0.00916909865792777,-0.00916931301194472,-0.0091711563248809,-0.00917648494161441,0.013234
"397",1963-01-01,0.0156845236621154,0.015684295263522,0.0156820116692568,0.0156591999775228,0.0154334806245591,0.013392582568249,0.00339960637777153,0.047867
"398",1963-02-01,0.00558874590807205,0.00558871923364687,0.00558845261787476,0.0055857852611741,0.00555899621124742,0.00528437727590126,0.00312851956723397,-0.026489
"399",1963-03-01,0.00505365664900089,0.00505360599464405,0.00505309972543395,0.00504803819516691,0.004997539560231,0.00450663606008597,0.0011928134298278,0.034281
"400",1963-04-01,-0.00385914612759817,-0.00385904500355697,-0.00385803401437875,-0.00384794239318125,-0.00374882484303762,-0.00291335342019149,-0.000433850336583572,0.04657
"401",1963-05-01,0.0118539075735207,0.0118539038341581,0.0118538663314221,0.0118534885114011,0.0118494391524117,0.0117877968376062,0.0108331511130512,0.017274
"402",1963-06-01,0.0156034059793954,0.0156034991791676,0.0156044308080227,0.0156137272243898,0.0157047410383157,0.0164497651263232,0.018237394491695,-0.020905
"403",1963-07-01,0.0285943553472854,0.0285942405217841,0.0285930925005946,0.0285816341482742,0.0284691952853187,0.0275246121098067,0.0241654689286923,-0.004521
"404",1963-08-01,0.0182173162432269,0.0182172906875618,0.0182170349439316,0.0182144776209205,0.0181889272946653,0.0179424173090583,0.0167109146269052,0.050966
"405",1963-09-01,0.00575778045334892,0.00575784706119023,0.00575851272752945,0.00576517104657444,0.005831903385765,0.00649882221094327,0.0109376709058057,-0.013102
"406",1963-10-01,0.0341632886907755,0.034163069383023,0.0341608767710596,0.0341389970955698,0.0339247446580077,0.0321547518272774,0.0262080624830337,0.031925
"407",1963-11-01,0.0193288909091862,0.0193289239616373,0.0193292543511552,0.0193325548281764,0.0193652240712032,0.0196626538006458,0.0212525958190986,-0.007187
"408",1963-12-01,0.0257201722598207,0.0257200982932651,0.0257193587634455,0.0257119669275315,0.0256383974886191,0.0249398035837402,0.0207827939938843,0.023165
"409",1964-01-01,0.0265738599678557,0.0265736916520042,0.0265720089062811,0.0265552093081525,0.0263899492701994,0.0249700239154518,0.0194412765861362,0.024391
"410",1964-02-01,-0.011068416949442,-0.0110682369697909,-0.0110664374121702,-0.0110484589344768,-0.0108703652242461,-0.00924222395730786,-0.000532738371694286,0.014415
"411",1964-03-01,0.00625282242708741,0.00625283949629913,0.00625300971980838,0.00625471523972992,0.00627209871764208,0.00647360837668401,0.00887950725265787,0.014132
"412",1964-04-01,0.0154692244822271,0.0154692969105238,0.0154700244027349,0.015477278443059,0.0155477475387426,0.0160863432083245,0.0168919351416118,0.003292
"413",1964-05-01,0.0115268591034955,0.0115268872331818,0.011527168465853,0.0115299767058701,0.0115576505328181,0.0117951422458427,0.0124057151111846,0.014215
"414",1964-06-01,0.00893374457154528,0.00893375314111965,0.00893383881903161,0.00893469687141813,0.00894339836983098,0.00903763781683063,0.00978355560095152,0.015084
"415",1964-07-01,0.0200131784551932,0.0200128710281572,0.020009799645391,0.0199793706906836,0.0197007390073894,0.0181608246894938,0.0156402718554795,0.01591
"416",1964-08-01,0.0121686473196757,0.012168533970693,0.0121674026062091,0.0121563009798287,0.0120640164128752,0.0119132844364123,0.0131571161842466,-0.014421
"417",1964-09-01,0.0186069950482592,0.0186071021000152,0.0186081705697136,0.0186186464019756,0.0187048156977,0.0187547357263499,0.0157391923494361,0.027599
"418",1964-10-01,0.0162865970737392,0.0162863592482585,0.0162839828805246,0.0162604026175955,0.0160413626296519,0.0147352560372473,0.0127450699813683,0.005845
"419",1964-11-01,0.0146606549340852,0.014660624382952,0.0146603197110205,0.0146573339768702,0.0146328470846322,0.0145912418689982,0.0140972693451978,-0.001302
"420",1964-12-01,-0.00211732619581571,-0.00211666077956654,-0.00211001172880097,-0.00204402674092412,-0.00143055489097631,0.00221385814511147,0.00853011833212498,0.002128
"421",1965-01-01,0.00121196985226005,0.00121213511727504,0.00121378827807347,0.00123036870313175,0.00139994395068994,0.00302446620202869,0.00805095970277147,0.031991
"422",1965-02-01,0.0153242995272185,0.0153242097310941,0.015323313949008,0.0153145631490188,0.0152452144937662,0.0152240693850141,0.0145957291595066,0.000746
"423",1965-03-01,0.00726117606993121,0.00726140718545329,0.00726371668404408,0.0072866473291211,0.00750076812338279,0.00878296883755032,0.0103880167682109,-0.015813
"424",1965-04-01,0.0110773374603408,0.011076804443142,0.0110714786923916,0.0110186681205166,0.0105312268444114,0.00776328174355256,0.0045728479100031,0.032512
"425",1965-05-01,-0.00148019617680831,-0.00147995335357661,-0.00147752715816962,-0.00145346601209905,-0.00123073863166175,0.000187005168084796,0.00494167480735369,-0.006222
"426",1965-06-01,-0.00747105781348938,-0.00747081654596368,-0.00746840425264619,-0.00744432579796777,-0.00720788430801635,-0.00519785859320344,0.00248404521364983,-0.05038
"427",1965-07-01,0.0337144526203725,0.0337141739336436,0.0337113878539271,0.0336835618998789,0.033408705674052,0.0309432355407253,0.0183981772301049,0.011386
"428",1965-08-01,-0.033804670078834,-0.033803565815229,-0.033792528983653,-0.0336826980735048,-0.0326353416502477,-0.0254713537675648,-0.00931341918135813,0.02426
"429",1965-09-01,0.0298955727778072,0.0298946712578523,0.0298856607126827,0.029796002008494,0.0289416681288164,0.0231078248281616,0.0104493497504018,0.030266
"430",1965-10-01,0.025577414644085,0.0255776143247682,0.0255796086143249,0.0255992899500192,0.0257716403712484,0.0260825241064205,0.0186445063678343,0.025712
"431",1965-11-01,0.00653685634357911,0.00653690436808192,0.00653738487051623,0.00654221941023008,0.00659288482790015,0.00708741495848712,0.00813486582726337,-0.007321
"432",1965-12-01,-0.00263791769358446,-0.00263748375715974,-0.00263314520754613,-0.00258979524733168,-0.00216135934644357,0.00121964558429921,0.00772214889236914,0.007049
"433",1966-01-01,0.00982403604579729,0.00982423361287312,0.00982620812637588,0.0098458352402284,0.0100306035769711,0.0110643303656254,0.0105530273306995,0.001905
"434",1966-02-01,0.0103781521138853,0.0103779820120465,0.010376283522257,0.0103594878299209,0.0102082281693628,0.00941058187205899,0.00741489251288807,-0.01625
"435",1966-03-01,0.00335510596865723,0.00335492092620615,0.00335307263032218,0.00333480408859431,0.00317128073399273,0.00242619511810934,0.00225527612577815,-0.026841
"436",1966-04-01,-0.00367397734417133,-0.00367401379123527,-0.00367437738717708,-0.00367791551621027,-0.00370476604917481,-0.00363611916076451,-0.00191345785658198,0.018758
"437",1966-05-01,-0.00427518679878175,-0.00427524446367344,-0.00427581962290398,-0.00428141355324463,-0.00432369941020755,-0.00423682804238417,-0.00241340575148935,-0.05324
"438",1966-06-01,-0.00844008653724799,-0.00844017236561853,-0.00844102930896248,-0.00844945932057827,-0.00852155470180266,-0.00873093854252359,-0.00740225744104598,-0.01818
